Cidade,date,SO2,NO2,O3,CO,PM2.5,PM10,rh_sensor
Rio Branco do Sul,2024-01-14T21:00:00Z,253.3420909090909,135.81803636363637,1.6446181818181815,0.43177272727272725,2.7572727272727273,37.27272727272727,38.33
Rio Branco do Sul,2024-01-14T22:00:00Z,381.7030363636364,163.59930909090906,0,0.5770909090909091,3.7563636363636363,44.07363636363637,52.60636363636364
Rio Branco do Sul,2024-01-14T23:00:00Z,208.9231666666667,112.44279999999999,0,0.3804583333333333,6.054166666666667,41.0375,58.79833333333333
Rio Branco do Sul,2024-01-15T00:00:00Z,113.31281666666668,91.7957,0,0.19166666666666665,4.6866666666666665,28.121666666666666,60.76916666666666
Rio Branco do Sul,2024-01-15T01:00:00Z,124.94343333333333,94.2585,0,0.25587499999999996,6.854166666666667,39.288333333333334,63.27333333333333
Rio Branco do Sul,2024-01-15T02:00:00Z,102.12541666666667,83.95139999999999,0,0.227125,4.825833333333334,24.455,64.565
Rio Branco do Sul,2024-01-15T03:00:00Z,82.28765,76.11179999999999,0,0.09583333333333333,4.510833333333333,19.489166666666666,65.03166666666667
Rio Branco do Sul,2024-01-15T04:00:00Z,61.3473,70.88226666666667,0,0.04408333333333333,3.7716666666666665,12.988333333333333,65.28083333333333
Rio Branco do Sul,2024-01-15T05:00:00Z,63.23588333333334,70.55013333333332,0,0.008624999999999999,5.098333333333334,18.171666666666667,65.2975
Rio Branco do Sul,2024-01-15T06:00:00Z,54.316966666666666,69.6023,0,0,4.5,15.8325,65.31416666666667
Rio Branco do Sul,2024-01-15T07:00:00Z,51.55941666666667,69.17773333333334,0,0,5.060833333333333,19.708333333333332,64.95166666666667
Rio Branco do Sul,2024-01-15T08:00:00Z,75.62630000000001,71.24886666666666,0,0.028749999999999998,7.411666666666667,29.155833333333334,65.33083333333333
Rio Branco do Sul,2024-01-15T09:00:00Z,101.35906666666668,76.57866666666666,0,0.135125,7.29,35.527499999999996,65.58
Rio Branco do Sul,2024-01-15T10:00:00Z,81.55623333333334,69.45816666666666,0,0.20316666666666666,5.523333333333333,36.2625,62.84166666666667
Rio Branco do Sul,2024-01-15T11:00:00Z,0,5.740266666666666,0,0.02970833333333333,1.8358333333333334,11.134166666666667,47.83583333333333
Rio Branco do Sul,2024-01-15T12:00:00Z,0,35.51633333333333,0,9.583333333333333e-4,1.1658333333333333,6.655833333333334,43.4225
Rio Branco do Sul,2024-01-15T13:00:00Z,11.02365,57.908699999999996,0,0.030666666666666665,1.2408333333333332,10.189166666666667,43.17666666666667
Rio Branco do Sul,2024-01-15T14:00:00Z,16.62826666666667,67.39016666666666,0,0.05654166666666666,1.3866666666666667,12.583333333333334,44.4675
Rio Branco do Sul,2024-01-15T15:00:00Z,86.1837090909091,89.7136,0.19065454545454547,0.051227272727272725,2.1418181818181816,23.655454545454546,43.95090909090909
Rio Branco do Sul,2024-01-15T16:00:00Z,144.69823333333335,119.53196666666666,0,0.18112499999999998,1.9208333333333334,15.500833333333333,50.545833333333334
Rio Branco do Sul,2024-01-15T17:00:00Z,6.0391,66.7165,0,0.022041666666666664,1.5816666666666668,16.635833333333334,47.2025
Rio Branco do Sul,2024-01-15T18:00:00Z,2.8514333333333335,49.132233333333325,0,0.017249999999999998,1.3058333333333334,13.786666666666667,45.25333333333333
Rio Branco do Sul,2024-01-15T19:00:00Z,80.56281666666668,87.83359999999999,0,0.09295833333333334,1.6075,17.453333333333333,46.2875
Rio Branco do Sul,2024-01-15T20:00:00Z,287.43781818181816,161.78254545454544,0,0.2854090909090909,2.4545454545454546,12.898181818181818,59.016363636363636
Rio Branco do Sul,2024-01-15T21:00:00Z,231.99008333333336,134.2649,0,0.4322083333333333,2.6916666666666664,17.019166666666667,65.95833333333333
Rio Branco do Sul,2024-01-15T22:00:00Z,126.18793333333333,93.51433333333333,0,0.324875,3.7191666666666667,25.939166666666665,67.075
Rio Branco do Sul,2024-01-15T23:00:00Z,95.51428333333332,82.90329999999999,0,0.2884583333333333,4.6375,35.89333333333333,66.92833333333333
Rio Branco do Sul,2024-01-16T00:00:00Z,98.79801666666667,77.1458,0,0.322,4.3116666666666665,24.934166666666666,67.06333333333333
Rio Branco do Sul,2024-01-16T01:00:00Z,79.53446666666667,73.28083333333332,0,0.24533333333333332,4.741666666666666,28.475833333333334,66.93333333333334
Rio Branco do Sul,2024-01-16T02:00:00Z,85.30283333333335,77.7521,0,0.14566666666666667,10.050833333333333,85.3075,66.92916666666667
Rio Branco do Sul,2024-01-16T03:00:00Z,67.43006666666668,68.15313333333333,0,0.11404166666666665,18.199166666666667,144.28583333333333,66.49249999999999
Rio Branco do Sul,2024-01-16T04:00:00Z,58.12251666666667,67.31496666666666,0,0.055583333333333325,16.755,130.82,66.23333333333333
Rio Branco do Sul,2024-01-16T05:00:00Z,55.683733333333336,67.49983333333333,0,0.021083333333333332,18.200833333333335,152.12333333333333,65.94
Rio Branco do Sul,2024-01-16T06:00:00Z,63.37065454545455,70.21970909090909,0,0.01986363636363636,22.257272727272728,172.59181818181818,65.95636363636363
Rio Branco do Sul,2024-01-16T07:00:00Z,70.35573333333333,70.077,0,0.057499999999999996,31.00166666666667,243.61333333333334,65.84
Rio Branco do Sul,2024-01-16T08:00:00Z,72.85267272727273,69.04556363636364,0,0.03868181818181818,23.11909090909091,183.78,65.54363636363637
Rio Branco do Sul,2024-01-16T09:00:00Z,104.50132,73.93476,0,0.18284999999999998,17.861,137.99699999999999,65.438
Rio Branco do Sul,2024-01-16T10:00:00Z,99.19538333333334,83.45946666666666,0,0.2827083333333333,12.105833333333333,87.16583333333332,64.53583333333333
Rio Branco do Sul,2024-01-16T11:00:00Z,2.065433333333334,6.827533333333333,0,0.017249999999999998,2.7583333333333333,17.88,49.67583333333334
Rio Branco do Sul,2024-01-16T12:00:00Z,0,26.938833333333335,0,0.0019166666666666666,1.1308333333333334,9.5675,43.84
Rio Branco do Sul,2024-01-16T13:00:00Z,2.630916666666667,45.62133333333333,0.1927333333333333,0.019166666666666665,0.71,7.1325,41.49583333333334
Rio Branco do Sul,2024-01-16T14:00:00Z,39.19956666666667,75.20783333333333,0.0294,0.09391666666666666,0.8091666666666667,8.4783333333333335,44.42
Rio Branco do Sul,2024-01-16T15:00:00Z,10.641566666666666,66.18226666666666,0,0.06804166666666667,0.6508333333333334,5.62,44.95916666666667
Rio Branco do Sul,2024-01-16T16:00:00Z,56.8278,65.63934545454545,0,0.030318181818181817,0.7918181818181818,7.517272727272727,43.557272727272725
Rio Branco do Sul,2024-01-16T17:00:00Z,0,38.7844,0.3119666666666666,0.019166666666666665,0.8175,8.559166666666666,40.218333333333334
Rio Branco do Sul,2024-01-16T18:00:00Z,0,47.3948,0.16496666666666668,0.031625,0.9058333333333334,9.176666666666666,38.538333333333334
Rio Branco do Sul,2024-01-16T19:00:00Z,23.883483333333334,61.33186666666666,0.0049,0.06995833333333333,1.1,13.765833333333333,38.13583333333333
Rio Branco do Sul,2024-01-16T20:00:00Z,177.8479818181818,102.39334545454545,0,0.414,2.649090909090909,38.198181818181816,43.14636363636364
