Cidade,sample_day,SO2,NO2,O3,CO,PM10,PM2.5,AQI_SO2,AQI_NO2,AQI_O3,AQI_CO,AQI_PM25,AQI_PM10,AQI,AQI_Qualidade
Almirante Tamandaré,2023-10-19,23.315,18.90833333333333,15.351666666666667,0.044375,6.443377525252525,1.7086363636363637,33,18,14,1,9,6,33,Boa
Almirante Tamandaré,2023-10-20,18.313333333333333,16.536666666666665,14.734479166666667,0.056354166666666664,3.3201041666666664,0.5504513888888889,26,16,14,1,3,3,26,Boa
Almirante Tamandaré,2023-10-21,46.2325,26.833333333333332,12.860104166666666,0.06989583333333334,6.084583333333334,1.1228819444444444,64,25,12,1,6,6,64,Moderada
Almirante Tamandaré,2023-10-22,40.36333333333333,22.25,18.663541666666667,0.03375,5.363090277777778,1.2835069444444445,56,21,17,0,7,5,56,Moderada
Almirante Tamandaré,2023-10-23,62.79416666666667,27.683333333333334,17.52958333333333,0.07958333333333334,9.804722222222223,1.7065625,85,26,16,1,9,9,85,Moderada
Almirante Tamandaré,2023-10-24,75.64666666666666,41.7125,23.460729166666667,0.4898958333333333,41.10420454545454,7.34542297979798,101,39,22,6,41,38,101,Ruim para grupos sensíveis
Almirante Tamandaré,2023-10-25,43.97416666666667,28.524166666666666,25.864479166666666,0.26905208333333336,14.893474305555555,3.304702777777778,61,27,24,3,18,14,61,Moderada
Almirante Tamandaré,2023-10-26,41.321666666666665,25.903333333333332,16.552291666666665,0.11937500000000001,14.547717391304348,3.2562786835748794,58,24,15,1,18,13,58,Moderada
Almirante Tamandaré,2023-10-27,55.19,30.754166666666666,15.691666666666666,0.3104166666666667,8.155277777777778,2.3052430555555556,75,29,15,4,13,8,75,Moderada
Almirante Tamandaré,2023-10-28,30.734166666666667,23.496666666666666,24.776354166666668,0.3159375,9.989513888888888,2.871770833333333,44,22,23,4,16,9,44,Boa
Almirante Tamandaré,2023-10-29,19.634166666666665,19.58416666666667,25.88875,0.27729166666666666,4.280555555555556,1.80125,28,18,24,3,10,4,28,Boa
Almirante Tamandaré,2023-10-30,41.4125,32.464999999999996,18.759895833333335,0.3015625,16.953125,4.8178125,58,31,17,3,27,16,58,Moderada
Almirante Tamandaré,2023-10-31,40.18,29.0625,22.234375,0.2817708333333333,10.074325396825397,2.536111111111111,56,27,21,3,14,9,56,Moderada
Almirante Tamandaré,2023-11-08,56.06583333333334,35.18833333333333,NA,NA,94.25333333333333,17.520833333333332,76,33,NA,NA,67,70,76,Moderada
Almirante Tamandaré,2023-11-09,45.968333333333334,24.085,34.09104166666667,0.32,52.39595643939394,9.32094696969697,64,23,32,4,51,49,64,Moderada
Almirante Tamandaré,2023-11-10,38.69,23.413333333333334,29.7275,0.16875,16.60972222222222,4.308263888888889,54,22,28,2,24,15,54,Moderada
Almirante Tamandaré,2023-11-11,112.015,47.456250000000004,30.851208333333332,0.39484375,32.04185416666667,6.610055555555555,117,45,29,4,37,30,117,Ruim para grupos sensíveis
Almirante Tamandaré,2023-11-12,104.77083333333333,40.64333333333333,27.817708333333332,0.37609375,28.08222222222222,6.0459375,114,38,26,4,34,26,114,Ruim para grupos sensíveis
Almirante Tamandaré,2023-11-13,54.04333333333334,29.6675,30.729375,0.36885416666666665,48.9165625,8.184826388888888,74,28,28,4,45,45,74,Moderada
Almirante Tamandaré,2023-11-14,74.55916666666667,29.845,22.701439393939395,0.44013257575757575,35.69096275252525,8.386849747474747,99,28,21,5,47,33,99,Moderada
Almirante Tamandaré,2023-11-15,60.431666666666665,37.1125,21.3446875,0.24177083333333335,21.397777777777776,5.065763888888889,82,35,20,3,28,20,82,Moderada
Almirante Tamandaré,2023-11-16,77.9,37.655,23.516770833333332,0.36114583333333333,29.19965277777778,7.838819444444445,102,36,22,4,44,27,102,Ruim para grupos sensíveis
Almirante Tamandaré,2023-11-17,121.26222222222222,53.31777777777778,31.122026515151514,0.3428125,19.03241792929293,6.15673085016835,121,50,29,4,34,18,121,Ruim para grupos sensíveis
Almirante Tamandaré,2023-11-18,66.20416666666667,31.41583333333333,33.326145833333335,0.52875,21.772916666666667,7.7234375,89,30,31,6,43,20,89,Moderada
Almirante Tamandaré,2023-11-19,13.606666666666667,16.636666666666667,22.489895833333335,0.5715625,12.13,4.580972222222222,19,16,21,6,25,11,25,Boa
Almirante Tamandaré,2023-11-20,12.82,17.001666666666665,21.998125,0.023854166666666666,9.311111111111112,2.2393055555555557,18,16,20,0,12,9,20,Boa
Almirante Tamandaré,2023-11-21,85.68083333333334,45.67,28.0784375,0.214375,11.835416666666667,3.0214583333333334,105,43,26,2,17,11,105,Ruim para grupos sensíveis
Almirante Tamandaré,2023-11-22,69.91083333333333,41.64,24.249583333333334,0.3122916666666667,15.741458333333334,4.882881944444445,94,39,22,4,27,15,94,Moderada
Almirante Tamandaré,2023-11-23,43.685,37.5625,29.345104166666665,0.2554166666666667,5.947361111111111,1.7624305555555555,61,35,27,3,10,6,61,Moderada
Almirante Tamandaré,2023-11-24,22.118333333333332,22.856666666666666,21.515833333333333,0.0615625,8.130243055555555,2.696701388888889,32,22,20,1,15,8,32,Boa
Almirante Tamandaré,2023-11-25,17.528333333333332,18.5925,14.210256410256411,0.05458333333333334,8.747636217948719,2.5085897435897437,25,18,13,1,14,8,25,Boa
Almirante Tamandaré,2023-11-26,26.808333333333334,22.475833333333334,13.925208333333334,0.0175,6.8130902777777775,1.976388888888889,38,21,13,0,11,6,38,Boa
Almirante Tamandaré,2023-11-27,21.175,19.411666666666665,12.0528125,0.11104166666666668,10.472118055555555,1.939548611111111,30,18,11,1,11,10,30,Boa
Almirante Tamandaré,2023-11-28,48.23583333333333,33.89416666666667,15.451666666666666,0.45947916666666666,24.170120192307692,7.11923344017094,66,32,14,5,40,22,66,Moderada
Almirante Tamandaré,2023-11-29,110.9875,52.81666666666667,18.191979166666666,0.46125,18.5621875,4.400277777777778,117,50,17,5,24,17,117,Ruim para grupos sensíveis
Almirante Tamandaré,2023-11-30,124.305,52.461666666666666,21.705895833333333,0.28270833333333334,14.172645833333334,3.005965277777778,123,49,20,3,17,13,123,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-01,128.48416666666665,49.6325,20.335479166666666,0.18114583333333334,24.780117065010373,5.505129392115398,125,47,19,2,31,23,125,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-02,107.57833333333333,38.020833333333336,20.255625000000002,0.31635416666666666,23.3275,5.798819444444444,115,36,19,4,32,22,115,Ruim para grupos sensíveis
Almirante Tamandaré,2023-12-03,135.85272727272726,47.74545454545454,23.392215909090908,0.33979166666666666,16.199987373737375,4.288813131313131,128,45,22,4,24,15,128,Ruim para grupos sensíveis
